Club Patinatge Artísitic Diadema;;;;patinscpacorbera@gmail.com
Societat Atlètica Corbera;;;;sac_atletisme@hotmail.com
Club Futbol Corbera;;;;cfcorbera@cfcorbera.cat
Club Bàsquet Corbera;;;;cb.corbera@basquetcatala.org
Moto Club Corbera;;;;mccorbera2015@gmail.com
Speleocorb;;;;speleocorb@gmail.com
CBE Country Corbera;;;;bcn.angels@gmail.com
Associació d'escalada Corbera;;;;aecorbera@gmail.com
Club Taekwodo Corbera;;;;gemma.g.pinto@gmail.com
Club Patí Corbera;;;;clubpaticorbera@fecapa.cat
Associació Patiantge Artísitic Corbera;;;;estherconcar@gmail.com
Associació esportiva Futsal Corbera;;;;futsalcorbera@gmail.com
